id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
79,Kevin Durant,34,39,39,1403,410,734,0.559,71,189,0.376,339,545,0.622,0.607,267,286,0.934,14,248,262,207,32,57,136,92,1158,BRK,2023
442,Kevin Durant,34,8,8,269,73,128,0.570,22,41,0.537,51,87,0.586,0.656,40,48,0.833,3,48,51,28,2,10,20,7,208,PHO,2023
704,Kevin Durant,33,55,55,2047,578,1115,0.518,115,300,0.383,463,815,0.568,0.570,372,409,0.910,29,378,407,351,48,52,191,113,1643,BRK,2022
1425,Kevin Durant,32,35,32,1157,324,603,0.537,85,189,0.450,239,414,0.577,0.608,210,238,0.882,13,234,247,195,25,45,120,70,943,BRK,2021
3004,Kevin Durant,30,78,78,2702,721,1383,0.521,137,388,0.353,584,995,0.587,0.571,448,506,0.885,33,464,497,457,58,84,225,155,2027,GSW,2019
3616,Kevin Durant,29,68,68,2325,630,1222,0.516,173,413,0.419,457,809,0.565,0.586,359,404,0.889,31,433,464,366,50,119,207,133,1792,GSW,2018
4173,Kevin Durant,28,62,62,2070,551,1026,0.537,117,312,0.375,434,714,0.608,0.594,336,384,0.875,39,474,513,300,66,99,138,117,1555,GSW,2017
4530,Kevin Durant,27,72,72,2578,698,1381,0.505,186,481,0.387,512,900,0.569,0.573,447,498,0.898,45,544,589,361,69,85,250,137,2029,OKC,2016
5090,Kevin Durant,26,27,27,913,238,467,0.510,64,159,0.403,174,308,0.565,0.578,146,171,0.854,16,162,178,110,24,25,74,40,686,OKC,2015
5637,Kevin Durant,25,81,81,3122,849,1688,0.503,192,491,0.391,657,1197,0.549,0.560,703,805,0.873,58,540,598,445,103,59,285,174,2593,OKC,2014
6185,Kevin Durant,24,81,81,3119,731,1433,0.510,139,334,0.416,592,1099,0.539,0.559,679,750,0.905,46,594,640,374,116,105,280,143,2280,OKC,2013
6702,Kevin Durant,23,66,66,2546,643,1297,0.496,133,344,0.387,510,953,0.535,0.547,431,501,0.860,40,487,527,231,88,77,248,133,1850,OKC,2012
7232,Kevin Durant,22,78,78,3038,711,1538,0.462,145,414,0.350,566,1124,0.504,0.509,594,675,0.880,57,476,533,214,88,76,218,159,2161,OKC,2011
7747,Kevin Durant,21,82,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,0.514,756,840,0.900,105,518,623,231,112,84,271,171,2472,OKC,2010
8257,Kevin Durant,20,74,74,2885,661,1390,0.476,97,230,0.422,564,1160,0.486,0.510,452,524,0.863,77,405,482,205,96,53,225,134,1871,OKC,2009
8781,Kevin Durant,19,80,80,2768,587,1366,0.430,59,205,0.288,528,1161,0.455,0.451,391,448,0.873,70,278,348,192,78,75,232,122,1624,SEA,2008
